iteration,reward_mean,length_mean,games,loss
500,-0.9,2.1,10,0.02820432558655739
1000,-1.0,2.0,9,0.025093000382184982
1500,-1.0,2.0,9,0.012679115869104862
2000,-1.0,2.0,8,0.010130012407898903
2500,-1.0,2.0,9,0.00615695072337985
3000,-1.0,2.0,8,0.005334735848009586
3500,-1.0,2.0,8,0.00814737193286419
4000,-0.89,2.11,9,0.007074076682329178
4500,-1.0,2.0,8,0.004985913634300232
5000,-1.0,2.0,8,0.0027420292608439922
5500,-1.0,2.0,8,0.0037550190463662148
6000,-1.0,2.0,8,0.0022383148316293955
6500,-0.5,2.0,10,0.0022090221755206585
7000,-1.0,2.0,8,0.0020174309611320496
7500,-0.6,2.0,10,0.0049866014160215855
8000,-0.64,2.0,11,0.0016970104770734906
8500,-0.22,2.0,9,0.0025859924498945475
9000,-0.3,2.1,10,0.0014062976697459817
9500,-0.25,2.0,8,0.0010083777597174048
10000,-0.12,2.0,8,0.003382280468940735
10500,0.0,2.0,8,0.0005883801495656371
11000,-0.3,2.0,10,0.0029204562306404114
11500,-0.25,2.0,8,0.004335338715463877
12000,0.0,2.12,8,0.00038077987846918404
12500,-0.25,2.0,8,0.0060801696963608265
13000,-0.22,2.22,9,0.001227028900757432
13500,-0.22,2.0,9,0.0008619357249699533
14000,-0.4,2.0,10,0.0003020315198227763
14500,-0.12,2.0,8,0.003111454425379634
15000,-0.38,2.0,8,0.000940777244977653
15500,-0.12,2.0,8,0.00471062446013093
16000,0.0,2.0,8,0.0028687999583780766
16500,-0.12,2.0,8,0.00048775001778267324
17000,-0.12,2.12,8,0.0008346823742613196
17500,0.11,2.44,9,0.001099532237276435
18000,-0.33,2.22,9,0.0024722858797758818
18500,-0.11,2.11,9,0.005659185815602541
19000,0.25,2.38,8,0.005273084621876478
19500,-0.11,2.33,9,0.0010409990791231394
20000,0.0,2.25,8,0.0013286566827446222
20500,0.0,2.0,8,0.004292416386306286
21000,-0.2,2.5,10,0.0022188944276422262
21500,0.44,2.78,9,0.0018375655636191368
22000,0.25,2.25,8,0.0027387726586312056
22500,-0.75,2.25,8,0.0036618290469050407
23000,-0.12,2.12,8,0.005466820672154427
23500,0.0,2.12,8,0.0016363492468371987
24000,0.12,2.38,8,0.0017423273529857397
24500,0.38,2.88,8,0.0008359202183783054
25000,0.0,2.12,8,0.002275318605825305
25500,0.12,2.25,8,0.0038166241720318794
26000,0.5,2.88,8,0.005975276231765747
26500,0.0,2.12,8,0.003193829907104373
27000,0.12,2.25,8,0.004922288469970226
27500,0.75,3.0,8,0.0009372973581776023
28000,0.25,2.38,8,0.0053358315490186214
28500,0.33,2.56,9,0.010770860128104687
29000,0.22,2.44,9,0.008562251925468445
29500,0.25,2.25,8,0.0009845658205449581
30000,0.56,2.78,9,0.0066695683635771275
30500,0.0,2.12,8,0.0024203057400882244
31000,-0.11,2.11,9,0.005398385692387819
31500,0.62,2.75,8,0.0016341994050890207
32000,0.11,2.56,9,0.0017861309461295605
32500,0.25,2.38,8,0.00378033728338778
33000,0.0,2.25,8,0.004030832089483738
33500,0.25,2.25,8,0.002288240473717451
34000,0.25,2.5,8,0.0012939493171870708
34500,0.25,2.5,8,0.0017447429709136486
35000,0.88,3.0,8,0.0009773392230272293
35500,0.83,3.42,12,0.0073858159594237804
36000,0.73,3.27,11,0.009983961470425129
36500,0.12,2.38,8,0.009659691713750362
37000,0.55,3.0,11,0.005219954065978527
37500,0.25,2.25,8,0.014375673606991768
38000,0.75,2.88,8,0.005340260453522205
38500,0.5,2.5,8,0.003029722487553954
39000,0.0,2.38,8,0.0006850275094620883
39500,0.8,3.3,10,0.012304410338401794
40000,-0.25,2.25,12,0.001272039138711989
40500,0.0,2.0,8,0.005980425979942083
41000,0.64,3.18,11,0.006070006638765335
41500,0.7,3.3,10,0.011217236518859863
42000,0.8,3.3,10,0.009310727007687092
42500,0.62,2.75,8,0.005004323087632656
43000,0.62,3.12,8,0.002113037509843707
43500,0.12,2.38,8,0.0017937540542334318
44000,0.38,2.92,13,0.007914597168564796
44500,1.64,4.27,11,0.007821228355169296
45000,0.88,3.12,8,0.0027762744575738907
45500,1.18,3.73,11,0.005456798244267702
46000,0.12,2.12,8,0.014539682306349277
46500,1.2,3.7,10,0.002455797977745533
47000,0.62,2.75,8,0.008091558702290058
47500,0.12,2.38,8,0.019040115177631378
48000,0.38,2.5,8,0.002745219273492694
48500,1.0,3.0,8,0.013627036474645138
49000,0.44,3.0,9,0.0024359296075999737
49500,3.38,6.38,8,0.0006649144925177097
50000,1.0,3.33,9,0.016023054718971252
50500,-0.12,2.25,8,0.01586446911096573
51000,0.82,3.18,11,0.009261197410523891
51500,0.88,3.12,8,0.0019538241904228926
52000,1.5,3.88,8,0.0034819820430129766
52500,0.92,3.38,13,0.01862822100520134
53000,1.3,3.8,10,0.0019178978400304914
53500,0.62,3.12,8,0.01076448429375887
54000,0.75,3.5,8,0.0062945825047791
54500,0.75,3.25,8,0.0016415794380009174
55000,0.22,2.56,9,0.009444004856050014
55500,0.33,2.56,9,0.004689881578087807
56000,1.5,4.5,8,0.006747744977474213
56500,2.4,4.8,10,0.002747338730841875
57000,-0.25,2.75,8,0.005644239950925112
57500,2.75,5.75,8,0.0009709489531815052
58000,1.25,3.88,8,0.0014722597552463412
58500,0.12,3.12,8,0.011979777365922928
59000,1.25,3.62,8,0.01055898331105709
59500,1.88,4.88,8,0.0017810431309044361
60000,1.0,4.0,8,0.01245257630944252
60500,0.25,2.38,8,0.007517316844314337
61000,0.75,3.0,8,0.0019424196798354387
61500,1.08,3.67,12,0.004870213568210602
62000,1.64,4.09,11,0.0031564044766128063
62500,1.75,4.75,8,0.0036456300877034664
63000,1.44,3.78,9,0.007968035526573658
63500,0.78,3.0,9,0.0018311637686565518
64000,1.0,3.33,9,0.0029363976791501045
64500,1.62,4.62,8,0.0011001923121511936
65000,1.45,4.09,11,0.011150531470775604
65500,1.62,4.12,8,0.003498651320114732
66000,0.9,3.5,10,0.0019531715661287308
66500,1.5,4.0,10,0.013541820459067822
67000,2.92,5.5,12,0.015198781155049801
67500,1.3,3.9,10,0.012740387581288815
68000,1.11,3.33,9,0.013001345098018646
68500,1.46,4.0,13,0.010682270862162113
69000,1.1,3.7,10,0.00231688329949975
69500,2.0,4.38,8,0.021807154640555382
70000,2.5,5.0,10,0.00638313964009285
70500,3.18,5.82,11,0.011293362826108932
71000,0.78,3.22,9,0.0031702853739261627
71500,2.8,5.3,10,0.008868020959198475
72000,0.38,2.62,8,0.0008593922830186784
72500,1.0,3.12,8,0.020966792479157448
73000,2.0,4.5,8,0.00882793590426445
73500,2.5,5.5,8,0.013139253482222557
74000,3.6,6.2,10,0.003530888818204403
74500,1.67,4.0,9,0.0018957473803311586
75000,4.0,7.0,8,0.0033905559685081244
75500,1.55,4.0,11,0.0019437156151980162
76000,2.88,5.88,8,0.010482225567102432
76500,1.0,4.0,8,0.004292665049433708
77000,2.88,5.88,8,0.001781493192538619
77500,3.11,5.67,9,0.013662485405802727
78000,3.33,5.67,9,0.003843790851533413
78500,1.22,3.67,9,0.016819005832076073
79000,2.0,4.55,11,0.005429023411124945
79500,1.44,4.0,9,0.011840593069791794
80000,3.25,6.25,8,0.016794199123978615
80500,4.12,7.12,8,0.005403179209679365
81000,1.5,3.88,8,0.004881440196186304
81500,1.5,4.5,8,0.0033985183108597994
82000,3.75,6.75,8,0.0025859354063868523
82500,0.73,3.18,11,0.013585926033556461
83000,2.38,5.38,8,0.0038946063723415136
83500,2.5,5.0,10,0.006564093753695488
84000,3.5,6.5,8,0.016314959153532982
84500,2.25,5.25,8,0.0030705868266522884
85000,3.5,6.5,8,0.004945429041981697
85500,2.38,5.38,8,0.005859214812517166
86000,2.9,5.4,10,0.014768590219318867
86500,3.0,6.0,8,0.02745860442519188
87000,5.5,8.5,8,0.0037121635396033525
87500,1.67,4.67,9,0.020027942955493927
88000,2.62,5.62,8,0.013223778456449509
88500,2.88,5.88,8,0.01558290608227253
89000,5.38,8.38,8,0.02132534421980381
89500,2.5,5.5,8,0.019696569070219994
90000,3.62,6.62,8,0.004578552674502134
90500,3.5,6.5,8,0.0046783327125012875
91000,1.25,4.25,8,0.014399539679288864
91500,2.75,5.75,8,0.01090665627270937
92000,4.12,7.12,8,0.019708191975951195
92500,1.88,4.88,8,0.009768255986273289
93000,3.4,6.1,10,0.0030494574457406998
93500,4.38,7.38,8,0.00462879054248333
94000,4.12,7.12,8,0.013419563882052898
94500,6.38,9.38,8,0.021455513313412666
95000,3.12,6.12,8,0.0021296131890267134
95500,1.33,3.78,9,0.024889932945370674
96000,3.88,6.88,8,0.004534317646175623
96500,5.75,8.75,8,0.00476365489885211
97000,2.88,5.5,8,0.017833031713962555
97500,2.6,5.3,10,0.03177505359053612
98000,5.88,8.88,8,0.027695875614881516
98500,6.25,9.25,8,0.0037982191424816847
99000,1.25,3.75,8,0.011230982840061188
99500,3.25,6.25,8,0.01833508536219597
100000,3.12,6.12,8,0.02049238234758377
100500,0.62,3.62,8,0.009802775457501411
101000,3.33,6.33,9,0.02959577925503254
101500,3.88,6.88,8,0.01370270922780037
102000,4.0,7.0,8,0.004721325822174549
102500,3.25,6.25,8,0.017786622047424316
103000,4.25,7.25,8,0.010046157985925674
103500,5.88,8.88,8,0.00472590746358037
104000,2.62,5.62,8,0.019615257158875465
104500,4.5,7.5,8,0.02504420280456543
105000,3.62,6.62,8,0.009102444164454937
105500,3.38,6.38,8,0.02118530496954918
106000,2.88,5.88,8,0.00935212429612875
106500,2.75,5.75,8,0.033232126384973526
107000,3.25,6.25,8,0.00992342084646225
107500,2.75,5.75,8,0.010270798578858376
108000,2.12,5.12,8,0.00906927790492773
108500,3.75,6.75,8,0.01600627228617668
109000,2.75,5.75,8,0.01746659353375435
109500,3.78,6.33,9,0.008937127888202667
110000,4.0,7.0,8,0.022503696382045746
110500,6.0,9.0,8,0.008599445223808289
111000,5.88,8.88,8,0.025210600346326828
111500,4.25,7.25,8,0.0074891382828354836
112000,6.88,9.88,8,0.06445641815662384
112500,5.5,8.5,8,0.024579118937253952
113000,8.38,11.38,8,0.023242011666297913
113500,6.12,9.12,8,0.03904227539896965
114000,3.62,6.62,8,0.018915461376309395
114500,8.25,11.25,8,0.0284190084785223
115000,6.75,9.75,8,0.01815646141767502
115500,9.25,12.25,8,0.02646569535136223
116000,5.62,8.62,8,0.021686676889657974
116500,4.88,7.88,8,0.014871044084429741
117000,2.75,5.75,8,0.023354602977633476
117500,5.62,8.62,8,0.011436579748988152
118000,5.88,8.88,8,0.010256495326757431
118500,8.0,11.0,8,0.023743469268083572
119000,5.75,8.75,8,0.008101940155029297
119500,8.38,11.38,8,0.010326170362532139
120000,4.5,7.5,8,0.03597712889313698
120500,3.38,6.38,8,0.010276551358401775
121000,2.38,5.38,8,0.009793180041015148
121500,4.38,7.38,8,0.029826361685991287
122000,4.62,7.62,8,0.010821790434420109
122500,7.12,10.12,8,0.020755670964717865
123000,7.38,10.38,8,0.0260417852550745
123500,4.75,7.75,8,0.028941890224814415
124000,5.0,8.0,8,0.05285291746258736
124500,4.62,7.62,8,0.017453188076615334
125000,9.38,12.38,8,0.006644209381192923
125500,8.25,11.25,8,0.03170660883188248
126000,6.88,9.88,8,0.013508932664990425
126500,6.25,9.25,8,0.011404448188841343
127000,4.25,7.25,8,0.040808241814374924
127500,6.0,9.0,8,0.05203500762581825
128000,6.75,9.75,8,0.011177930980920792
128500,7.75,10.75,8,0.011782607063651085
129000,5.88,8.88,8,0.04715099185705185
129500,8.0,11.0,8,0.010418140329420567
130000,7.88,10.88,8,0.04107861593365669
130500,5.0,8.0,8,0.029321879148483276
131000,4.75,7.75,8,0.009793556295335293
131500,4.88,7.88,8,0.03590410575270653
132000,9.38,12.38,8,0.01252603717148304
132500,4.88,7.88,8,0.01197886187583208
133000,3.75,6.75,8,0.01787421479821205
133500,5.88,8.88,8,0.006810690276324749
134000,8.11,11.11,9,0.008285303600132465
134500,5.88,8.88,8,0.007700244430452585
135000,6.0,9.0,8,0.023893434554338455
135500,11.0,14.0,8,0.023056097328662872
136000,6.12,9.12,8,0.023163210600614548
136500,9.38,12.38,8,0.03653326630592346
137000,6.62,9.62,8,0.037574488669633865
137500,3.12,6.12,8,0.008842120878398418
138000,4.67,7.67,9,0.03143288940191269
138500,8.62,11.62,8,0.040827006101608276
139000,4.88,7.88,8,0.020811159163713455
139500,4.5,7.5,8,0.011285173706710339
140000,4.75,7.75,8,0.0407484695315361
140500,5.25,8.25,8,0.02357180044054985
141000,6.12,9.12,8,0.011947873048484325
141500,3.5,6.5,8,0.042430710047483444
142000,8.75,11.75,8,0.007911930792033672
142500,10.38,13.38,8,0.007320777513086796
143000,5.62,8.62,8,0.039134103804826736
143500,7.62,10.62,8,0.009740348905324936
144000,9.12,12.12,8,0.06890517473220825
144500,7.25,10.25,8,0.012648672796785831
145000,6.25,9.25,8,0.022257670760154724
145500,5.38,8.38,8,0.037888240069150925
146000,8.62,11.62,8,0.04050314426422119
146500,7.5,10.5,8,0.009501585736870766
147000,6.62,9.62,8,0.010328995063900948
147500,10.25,13.25,8,0.08843537420034409
148000,4.75,7.75,8,0.01969834230840206
148500,2.12,5.12,8,0.039853908121585846
149000,6.0,9.0,8,0.012296110391616821
149500,8.62,11.62,8,0.040033988654613495
150000,4.12,7.12,8,0.03584134578704834
150500,5.0,8.0,8,0.009668800979852676
151000,7.75,10.75,8,0.03263114020228386
151500,5.67,8.67,9,0.015554379671812057
152000,3.62,6.62,8,0.017196035012602806
152500,6.5,9.5,8,0.03890873119235039
153000,7.38,10.38,8,0.019337963312864304
153500,8.25,11.25,8,0.0706939548254013
154000,7.88,10.88,8,0.020692147314548492
154500,7.5,10.5,8,0.024919280782341957
155000,2.88,5.88,8,0.0378880649805069
155500,6.62,9.62,8,0.015422632917761803
156000,6.88,9.88,8,0.03464272990822792
156500,6.88,9.88,8,0.029531409963965416
157000,4.75,7.75,8,0.038365889340639114
157500,7.62,10.62,8,0.005548787768930197
158000,10.25,13.25,8,0.013617814518511295
158500,4.75,7.75,8,0.011257875710725784
159000,7.25,10.25,8,0.024387715384364128
159500,2.25,5.25,8,0.058729469776153564
160000,8.62,11.62,8,0.07110005617141724
160500,5.75,8.75,8,0.04273848980665207
161000,7.25,10.25,8,0.011692745611071587
161500,6.25,9.25,8,0.03657079488039017
162000,7.25,10.25,8,0.03739668428897858
162500,6.25,9.25,8,0.03828280791640282
163000,9.12,12.12,8,0.007187983021140099
163500,4.5,7.5,8,0.007638542912900448
164000,8.12,11.12,8,0.03764539211988449
164500,8.38,11.38,8,0.01129580195993185
165000,7.5,10.5,8,0.011901656165719032
165500,6.12,9.12,8,0.010506026446819305
166000,6.0,9.0,9,0.006062252447009087
166500,7.88,10.88,8,0.01348567008972168
167000,12.0,15.0,8,0.10129985958337784
167500,12.5,15.5,8,0.02684774622321129
168000,6.0,9.0,8,0.031062807887792587
168500,7.38,10.38,8,0.009362172335386276
169000,6.5,9.5,8,0.014372555539011955
169500,10.12,13.12,8,0.014267442747950554
170000,6.5,9.5,8,0.012044328264892101
170500,2.88,5.88,8,0.007678144611418247
171000,9.0,12.0,8,0.007241417188197374
171500,5.62,8.62,8,0.055747829377651215
172000,11.5,14.5,8,0.0211517084389925
172500,14.75,17.75,8,0.045562684535980225
173000,5.12,8.12,8,0.036570072174072266
173500,13.5,16.5,8,0.016983550041913986
174000,4.12,7.12,8,0.01792578399181366
174500,4.62,7.62,8,0.04616564139723778
175000,10.5,13.5,8,0.024199606850743294
175500,7.38,10.38,8,0.04027755931019783
176000,6.12,9.12,8,0.013473376631736755
176500,8.12,11.12,8,0.015369376167654991
177000,1.38,4.38,8,0.055147696286439896
177500,7.88,10.88,8,0.045637425035238266
178000,8.25,11.25,8,0.03341517597436905
178500,4.38,7.38,8,0.008373472839593887
179000,6.12,9.12,8,0.01049970742315054
179500,6.38,9.38,8,0.031257741153240204
180000,7.25,10.25,8,0.03201252594590187
180500,8.38,11.38,8,0.03766237199306488
181000,5.62,8.62,8,0.02051677368581295
181500,9.12,12.12,8,0.07306664437055588
182000,6.75,9.75,8,0.02061065286397934
182500,8.62,11.62,8,0.012563016265630722
183000,8.25,11.25,8,0.02021477185189724
183500,10.62,13.62,8,0.00944494642317295
184000,7.38,10.38,8,0.01058906689286232
184500,8.62,11.62,8,0.007597528398036957
185000,8.88,11.88,8,0.009460316970944405
185500,4.25,7.25,8,0.005236383993178606
186000,8.62,11.62,8,0.006027934141457081
186500,7.38,10.38,8,0.007396719418466091
187000,5.88,8.88,8,0.008869193494319916
187500,10.25,13.25,8,0.014407235197722912
188000,3.5,6.5,8,0.06092631816864014
188500,4.88,7.88,8,0.032231930643320084
189000,4.5,7.5,8,0.00984000414609909
189500,8.38,11.38,8,0.021218428388237953
190000,5.25,8.25,8,0.0123930424451828
190500,3.5,6.5,8,0.04283462464809418
191000,10.38,13.38,8,0.007065747864544392
191500,4.62,7.62,8,0.008732366375625134
192000,4.88,7.88,8,0.010293078608810902
192500,9.25,12.25,8,0.03764282912015915
193000,11.44,14.44,9,0.0391881987452507
193500,10.12,13.12,8,0.06600211560726166
194000,8.88,11.88,8,0.061100076884031296
194500,6.38,9.38,8,0.03898749500513077
195000,6.88,9.88,8,0.01523999311029911
195500,13.0,16.0,8,0.006181888282299042
196000,7.88,10.88,8,0.030714325606822968
196500,5.0,8.0,8,0.011643124744296074
197000,8.0,11.0,8,0.009394282475113869
197500,13.25,16.25,8,0.018758246675133705
198000,8.78,11.78,9,0.030346496030688286
198500,15.12,18.12,8,0.0322248600423336
199000,2.0,5.0,8,0.03084735944867134
199500,5.75,8.75,8,0.009620511904358864
200000,7.62,10.62,8,0.0419340506196022
